Humidity,Temperature,Time
66,23,12/09/2019 21:30:37
66,23,12/09/2019 21:30:47
66,23,12/09/2019 21:30:58
66,23,12/09/2019 21:31:08
66,23,12/09/2019 21:31:18
66,23,12/09/2019 21:31:28
66,23,12/09/2019 21:31:38
66,23,12/09/2019 21:31:48
66,23,12/09/2019 21:32:00
66,23,12/09/2019 21:32:10
66,23,12/09/2019 21:32:22
66,23,12/09/2019 21:32:32
66,23,12/09/2019 21:32:42
66,23,12/09/2019 21:32:52
66,23,12/09/2019 21:33:02
66,23,12/09/2019 21:33:12
66,23,12/09/2019 21:33:22
66,23,12/09/2019 21:33:32
66,23,12/09/2019 21:33:42
66,23,12/09/2019 21:33:52
66,23,12/09/2019 21:34:03
66,23,12/09/2019 21:34:13
66,23,12/09/2019 21:34:24
